City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
229,Sulphur,US,84.18,clear sky,30.2366,-93.3774,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
230,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
231,Naze,JP,77.92,scattered clouds,28.3667,129.4833,Shishime Hotel
233,Mecca,SA,88.77,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
237,Jalu,LY,80.29,clear sky,29.0331,21.5482,صاحبة الفخامة
240,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
245,Matara,LK,77.79,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
248,Mogadishu,SO,75.88,light rain,2.0371,45.3438,Hotel Juba
250,Marquette,US,79.77,few clouds,46.5333,-87.6335,Al Quaal Lodge
254,Sola,VU,80.8,broken clouds,-13.8833,167.55,Leumerus Bungalows
255,Kieta,PG,78.85,clear sky,-6.2167,155.6333,Uruna Bay Retreat
256,Zacatepec,MX,86.77,broken clouds,18.65,-99.2,Villas El Paraíso
263,Muskegon,US,88.93,scattered clouds,43.3,-86.1334,Timberline Estates
266,Gairo,IT,76.17,clear sky,39.8497,9.5047,La Nuova Luna
270,Candido Mendes,BR,76.44,overcast clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
272,Gat,IL,79.81,clear sky,31.61,34.7642,OlusHome
276,Kismayo,SO,75.38,scattered clouds,-0.3582,42.5454,Agan-Hotel
278,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
281,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
283,Fukuma,JP,76.28,clear sky,33.7667,130.4667,Masago
287,Nantucket,US,89.71,clear sky,41.2835,-70.0995,Jared Coffin House
289,Alugan,PH,79.95,overcast clouds,12.2188,125.4808,JM Lodge
292,Hami,CN,78.85,clear sky,42.8,93.45,Laoyutang Resort
294,Manono,CD,79.68,broken clouds,-7.3,27.4167,Hotel hewa bora
300,Jackson,US,88.02,clear sky,42.4165,-122.8345,Agate Village Apartments
301,Floriano,BR,88.41,overcast clouds,-6.7669,-43.0225,Hotel Maktub
302,Icod De Los Vinos,ES,77.34,scattered clouds,28.3724,-16.7119,Hotel El Patio
304,Frycovice,CZ,76.8,clear sky,49.6668,18.2232,Apartmany na jizdarne
305,Torbay,CA,78.28,broken clouds,47.6666,-52.7314,Gallows Cove
310,Sinnamary,GF,80.6,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
314,Alibag,IN,80.67,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
321,Baraki Barak,AF,75.22,overcast clouds,33.9675,68.9486,برکی برک
322,Brookings,US,88.14,clear sky,44.3114,-96.7984,"Holiday Inn Express & Suites Brookings, an IHG Hotel"
329,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
335,Manoel Urbano,BR,88.81,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
339,Ratnagiri,IN,79.0,overcast clouds,16.9833,73.3,Hotel Landmark
342,Cockburn Town,TC,78.76,light intensity drizzle,21.4612,-71.1419,Osprey Beach Hotel
343,Warsaw,PL,78.82,clear sky,52.2298,21.0118,Hotel Metropol
346,Bandarbeyla,SO,77.41,broken clouds,9.4942,50.8122,JABIR HOTEL
347,Samarai,PG,79.45,scattered clouds,-10.6167,150.6667,Nuli Sapi
349,Fukue,JP,77.65,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
350,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
351,Biak,ID,75.11,broken clouds,-0.9131,122.8766,Penginapan Kim
352,Casa Branca,BR,79.63,few clouds,-21.7739,-47.0864,Hospedaria Casa Branca
355,Kolokani,ML,80.82,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
357,Kingston,JM,86.95,scattered clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
358,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
366,Abu Kamal,SY,89.8,clear sky,34.4506,40.9171,البوكمال
370,Presidencia Roque Saenz Pena,AR,82.74,overcast clouds,-26.7852,-60.4388,Hotel Gualok
371,Sao Felix Do Xingu,BR,85.05,clear sky,-6.6447,-51.995,Rio Xingu Camping
374,Erzin,TR,76.35,clear sky,36.9559,36.2,Artemis Otel
375,Mangrol,IN,80.8,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
377,Lorengau,PG,81.55,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
378,Dzilam Gonzalez,MX,85.1,broken clouds,21.2833,-88.9333,posadas
382,Tabatinga,BR,82.49,thunderstorm,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
386,The Valley,AI,86.14,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
387,Cabedelo,BR,75.87,light rain,-6.9811,-34.8339,Pousada Camboinha
394,Mahon,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
403,Benito Juarez,MX,82.94,broken clouds,19.385,-99.165,Hotel Beverly
412,Constantine,DZ,83.61,scattered clouds,36.365,6.6147,Grand Hotel Cirta
419,Nisia Floresta,BR,80.98,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
